"Rank","Time","Wind (m/s)","Athlete","Nation","Date","Place","Ref"
1,"10.49","0.0[a]","Florence Griffith-Joyner","United States","16 July 1988","Indianapolis",""
2,"10.64","+1.2","Carmelita Jeter","United States","20 September 2009","Shanghai",""
3,"10.65 [A]","+1.1","Marion Jones","United States","12 September 1998","Johannesburg",""
4,"10.70","+0.6","Shelly-Ann Fraser-Pryce","Jamaica","29 June 2012","Kingston",""
4,"10.70","+0.3","Elaine Thompson","Jamaica","1 July 2016","Kingston","[54]"
6,"10.73","+2.0","Christine Arron","France","19 August 1998","Budapest",""
7,"10.74","+1.3","Merlene Ottey","Jamaica","7 September 1996","Milan",""
7,"10.74","+1.0","English Gardner","United States","3 July 2016","Eugene","[37]"
9,"10.75","+0.4","Kerron Stewart","Jamaica","10 July 2009","Rome",""
9,"10.75","+1.6","Sha'Carri Richardson","United States","8 June 2019","Austin","[55]"
11,"10.76","+1.7","Evelyn Ashford","United States","22 August 1984","Zürich",""
11,"10.76","+1.1","Veronica Campbell-Brown","Jamaica","31 May 2011","Ostrava",""
13,"10.77","+0.9","Irina Privalova","Russia","6 July 1994","Lausanne",""
13,"10.77","+0.7","Ivet Lalova","Bulgaria","19 June 2004","Plovdiv",""
15,"10.78 [A]","+1.0","Dawn Sowell","United States","3 June 1989","Provo",""
15,"10.78","+1.8","Torri Edwards","United States","26 June 2008","Eugene",""
15,"15","+1.6","Murielle Ahouré","Ivory Coast","11 June 2016","Montverde","[56]"
15,"15","+1.0","Tianna Bartoletta","United States","3 July 2016","Eugene","[37]"
15,"15","+1.0","Tori Bowie","United States","3 July 2016","Eugene","[37]"
20,"10.79","0.0","Li Xuemei","China","18 October 1997","Shanghai",""
20,"10.79","−0.1","Inger Miller","United States","22 August 1999","Seville",""
20,"10.79","+1.1","Blessing Okagbare","Nigeria","27 July 2013","London",""
23,"10.81","+1.7","Marlies Göhr","East Germany","8 June 1983","Berlin",""
23,"10.81","−0.3","Dafne Schippers","Netherlands","24 August 2015","Beijing","[57]"
25,"10.82","−1.0","Gail Devers","United States","1 August 1992","Barcelona",""
25,"10.82","+1.5","Gail Devers","United States","7 July 1993","Lausanne",""
25,"10.82","−0.3","Gail Devers","United States","16 August 1993","Stuttgart",""
25,"10.82","+0.4","Gwen Torrence","United States","3 September 1994","Paris",""
25,"10.82","−0.3","Zhanna Block","Ukraine","6 August 2001","Edmonton",""
25,"10.82","−0.7","Sherone Simpson","Jamaica","24 June 2006","Kingston",""
25,"10.82","+0.9","Michelle-Lee Ahye","Trinidad and Tobago","24 June 2017","Port of Spain","[58]"
