"","Age","Time","Wind (m/s)","Athlete","Date","Place","Age"
"1",5,16.12,1.6,"Micahlena Cotton","9 July 2016","Orlando, United States","5 years, 362 days"
"2",6,14.89,0,"Stacey Onyepunuka","6 July 2013","Mesa, United States","6 years, 261 days"
"3",7,13.97,-0.4,"Payton Payne","25 July 2015","Durham, United States","7 years, 234 days"
"4",8,13.55,1.5,"Kharisma Watkins","1 June 2019","Miramar, United States","8 years, 343 days"
"5",9,12.67,1.7,"Payton Payne","9 July 2017","Greensboro, United States","9 years, 218 days"
"6",10,12.15,0.5,"Payton Payne","26 July 2018","Greensboro, United States","10 years, 235 days"
"7",11,11.75,1.6,"Payton Payne","28 July 2019","Sacramento, United States","11 years, 237 days"
"8",12,11.75,1.6,"Payton Payne","28 July 2019","Sacramento, United States","11 years, 237 days"
"9",13,11.54,-1.2,"Tina Clayton","27 May 2018","Douglasville, United States","13 years, 283 days"
"10",14,11.27,1.4,"Tina Clayton","31 March 2017","Kingston, Jamaica","14 years, 224 days"
"11",15,11.13,1.7,"Briana Williams","17 March 2018","Jacksonville, United States","15 years, 361 days"
"12",15,11.13,1.6,"Tamari Davis","9 June 2018","Shoreline, United States","15 years, 114 days"
"13",16,10.98,2,"Candance Hill","20 June 2015","Shoreline, United States","16 years, 129 days"
"14",17,10.94,0.6,"Briana Williams","21 June 2019","Kingston, Jamaica","17 years, 92 days"
"15",18,10.89,1.8,"Katrin Krabbe","20 July 1988","Berlin, East Germany","18 years, 241 days"
"16",19,10.75,1.3,"Sha'Carri Richardson","8 June 2019","Austin, United States","19 years, 75 days"
